image_id,label,variety,age
100330.jpg,bacterial_leaf_blight,ADT45,45
100365.jpg,bacterial_leaf_blight,ADT45,45
100382.jpg,bacterial_leaf_blight,ADT45,45
100632.jpg,bacterial_leaf_blight,ADT45,45
101918.jpg,bacterial_leaf_blight,ADT45,45
102353.jpg,bacterial_leaf_blight,ADT45,45
102848.jpg,bacterial_leaf_blight,ADT45,45
103051.jpg,bacterial_leaf_blight,ADT45,45
103702.jpg,bacterial_leaf_blight,ADT45,45
103920.jpg,bacterial_leaf_blight,ADT45,45
106539.jpg,bacterial_leaf_blight,ADT45,45
108320.jpg,bacterial_leaf_blight,ADT45,45
108541.jpg,bacterial_leaf_blight,ADT45,45
100049.jpg,bacterial_leaf_blight,ADT45,50
100541.jpg,bacterial_leaf_blight,ADT45,50
100622.jpg,bacterial_leaf_blight,ADT45,50
100795.jpg,bacterial_leaf_blight,ADT45,50
100967.jpg,bacterial_leaf_blight,ADT45,50
101173.jpg,bacterial_leaf_blight,ADT45,50
101229.jpg,bacterial_leaf_blight,ADT45,50
101425.jpg,bacterial_leaf_blight,ADT45,50
101780.jpg,bacterial_leaf_blight,ADT45,50
101930.jpg,bacterial_leaf_blight,ADT45,50
101973.jpg,bacterial_leaf_blight,ADT45,50
102190.jpg,bacterial_leaf_blight,ADT45,50
102667.jpg,bacterial_leaf_blight,ADT45,50
102726.jpg,bacterial_leaf_blight,ADT45,50
102981.jpg,bacterial_leaf_blight,ADT45,50
103435.jpg,bacterial_leaf_blight,ADT45,50
103734.jpg,bacterial_leaf_blight,ADT45,50
104108.jpg,bacterial_leaf_blight,ADT45,50
104255.jpg,bacterial_leaf_blight,ADT45,50
104702.jpg,bacterial_leaf_blight,ADT45,50
104975.jpg,bacterial_leaf_blight,ADT45,50
105122.jpg,bacterial_leaf_blight,ADT45,50
105273.jpg,bacterial_leaf_blight,ADT45,50
105291.jpg,bacterial_leaf_blight,ADT45,50
105443.jpg,bacterial_leaf_blight,ADT45,50
105662.jpg,bacterial_leaf_blight,ADT45,50
105794.jpg,bacterial_leaf_blight,ADT45,50
106089.jpg,bacterial_leaf_blight,ADT45,50
106339.jpg,bacterial_leaf_blight,ADT45,50
107246.jpg,bacterial_leaf_blight,ADT45,50
108520.jpg,bacterial_leaf_blight,ADT45,50
108673.jpg,bacterial_leaf_blight,ADT45,50
108748.jpg,bacterial_leaf_blight,ADT45,50
108817.jpg,bacterial_leaf_blight,ADT45,50
108868.jpg,bacterial_leaf_blight,ADT45,50
108883.jpg,bacterial_leaf_blight,ADT45,50
109306.jpg,bacterial_leaf_blight,ADT45,50
109332.jpg,bacterial_leaf_blight,ADT45,50
109422.jpg,bacterial_leaf_blight,ADT45,50
109441.jpg,bacterial_leaf_blight,ADT45,50
109514.jpg,bacterial_leaf_blight,ADT45,50
109775.jpg,bacterial_leaf_blight,ADT45,50
109818.jpg,bacterial_leaf_blight,ADT45,50
109950.jpg,bacterial_leaf_blight,ADT45,50
110090.jpg,bacterial_leaf_blight,ADT45,50
110382.jpg,bacterial_leaf_blight,ADT45,50
100289.jpg,bacterial_leaf_blight,ADT45,55
100447.jpg,bacterial_leaf_blight,ADT45,55
100523.jpg,bacterial_leaf_blight,ADT45,55
100548.jpg,bacterial_leaf_blight,ADT45,55
101169.jpg,bacterial_leaf_blight,ADT45,55
101176.jpg,bacterial_leaf_blight,ADT45,55
101187.jpg,bacterial_leaf_blight,ADT45,55
101198.jpg,bacterial_leaf_blight,ADT45,55
101406.jpg,bacterial_leaf_blight,ADT45,55
101420.jpg,bacterial_leaf_blight,ADT45,55
101469.jpg,bacterial_leaf_blight,ADT45,55
